Data	3696 - Taxa de câmbio - Livre - Dólar americano (venda) - Fim de período - mensal - u.m.c./US$	3697 - Taxa de câmbio - Livre - Dólar americano (compra) - Média de período - mensal - u.m.c./US$
02/2016	3,9796 	3,9731
03/2016	3,5589 	3,7033
04/2016	3,4508 	3,5652
05/2016	3,5951 	3,5387
06/2016	3,2098 	3,4239
07/2016	3,2390 	3,2750
08/2016	3,2403 	3,2091
09/2016	3,2462 	3,2558
10/2016	3,1811 	3,1852
11/2016	3,3967 	3,3414
12/2016	3,2591 	3,3517
01/2017	3,1270 	3,1960
02/2017	3,0993 	3,1036
03/2017	3,1684 	3,1273
04/2017	3,1984 	3,1356
05/2017	3,2437 	3,2087
06/2017	3,3082 	3,2948
07/2017	3,1307 	3,2055
08/2017	3,1471 	3,1503
09/2017	3,1680 	3,1342
10/2017	3,2769 	3,1906
11/2017	3,2616 	3,2587
12/2017	3,3080 	3,2913
01/2018	3,1624 	3,2100
02/2018	3,2449 	3,2409
03/2018	3,3238 	3,2786
04/2018	3,4811 	3,4069
05/2018	3,7370 	3,6355
06/2018	3,8558 	3,7726
07/2018	3,7549 	3,8281
08/2018	4,1353 	3,9292
09/2018	4,0039 	4,1159
10/2018	3,7177 	3,7578
11/2018	3,8633 	3,7860
12/2018	3,8748 	3,8844
01/2019	3,6519 	3,7411
02/2019	3,7385 	3,7230
03/2019	3,8967 	3,8459
04/2019	3,9453 	3,8956
05/2019	3,9407 	4,0009
06/2019	3,8322 	3,8582
07/2019	3,7649 	3,7787
08/2019	4,1385 	4,0194
09/2019	4,1644 	4,1209
10/2019	4,0041 	4,0864
11/2019	4,2240 	4,1547
12/2019	4,0307 	4,1089
01/2020	4,2695 	4,1489
02/2020	4,4987 	4,3404
03/2020	5,1987 	4,8832
04/2020	5,4270 	5,3250
05/2020	5,4263 	5,6429
06/2020	5,4760 	5,1960
07/2020	5,2033 	5,2796
08/2020	5,4713 	5,4606
09/2020	5,6407 	5,3989
10/2020	5,7718 	5,6252
11/2020	5,3317 	5,4172
12/2020	5,1967 	5,1449
01/2021	5,4759 	5,3556
02/2021	5,5302 	5,4159
03/2021	5,6973 	5,6455
04/2021	5,4036 	5,5615
05/2021	5,2322 	5,2904
06/2021	5,0022 	5,0313
07/2021	5,1216 	5,1560
08/2021	5,1433 	5,2511
09/2021	5,4394 	5,2791
10/2021	5,6430 	5,5394
11/2021	5,6199 	5,5563
12/2021	5,5805 	5,6506
01/2022	5,3574 	5,5335
02/2022	5,1394 	5,1960
03/2022	4,7378 	4,9678
04/2022	4,9191 	4,7574
05/2022	4,7289 	4,9545
06/2022	5,2380 	5,0486
07/2022	5,1884 	5,3675
08/2022	5,1790 	5,1427
09/2022	5,4066 	5,2364
10/2022	5,2570 	5,2497
11/2022	5,2941 	5,2741
12/2022	5,2177 	5,2418
01/2023	5,0993 	5,2001
02/2023	5,2078 	5,1711
